signal_name,n_files_present,pct_files_present_opened,pct_files_present_catalog,n_unique_vins,pct_vins_present,first_seen_date,last_seen_date,n_files_empty,pct_files_empty_among_present,min_non_empty_length,max_non_empty_length
PTOMode_1587,21222,0.9987293519695044,0.9987293519695044,96,1.0,20121008,20211006,0,0.0,1,86401
PTOResSwtch_1587,21222,0.9987293519695044,0.9987293519695044,96,1.0,20121008,20211006,0,0.0,1,86401
PTOSetSpeed,20688,0.9735987575885924,0.9735987575885924,96,1.0,20121008,20211006,0,0.0,1,86401
PTOSetSpeed_1587,21231,0.9991529013130028,0.9991529013130028,96,1.0,20121008,20211006,0,0.0,1,86401
PTOSetSwitch_1587,21222,0.9987293519695044,0.9987293519695044,96,1.0,20121008,20211006,0,0.0,1,86401
PTOSpeed,20688,0.9735987575885924,0.9735987575885924,96,1.0,20121008,20211006,0,0.0,1,86401
PTOStatAccelSwtch_1587,21222,0.9987293519695044,0.9987293519695044,96,1.0,20121008,20211006,0,0.0,1,86401
PTOStatBrkSwtch_1587,21222,0.9987293519695044,0.9987293519695044,96,1.0,20121008,20211006,0,0.0,1,86401
PTOStatClutchSwtch_1587,21222,0.9987293519695044,0.9987293519695044,96,1.0,20121008,20211006,0,0.0,1,86401
ParkBrkSwtchStatEng,20688,0.9735987575885924,0.9735987575885924,96,1.0,20121008,20211006,0,0.0,1,86401
PctEngLoad,21235,0.999341145465669,0.999341145465669,96,1.0,20121008,20211006,0,0.0,1,86401
PrkBrkSwtchStat_1587,21222,0.9987293519695044,0.9987293519695044,96,1.0,20121008,20211006,0,0.0,1,86401
ProgShftDisable,20659,0.9722339874817638,0.9722339874817638,96,1.0,20121008,20211006,0,0.0,1,86401
RelativeSpdFrontAxleLftWheel,21048,0.9905407313285332,0.9905407313285332,95,0.9895833333333334,20121008,20211006,0,0.0,1,86401
RelativeSpdFrontAxleRghtWheel,21048,0.9905407313285332,0.9905407313285332,95,0.9895833333333334,20121008,20211006,0,0.0,1,86401
RelativeSpdRearAxle1LftWheel,21048,0.9905407313285332,0.9905407313285332,95,0.9895833333333334,20121008,20211006,0,0.0,1,86401
RelativeSpdRearAxle1RghtWheel,21048,0.9905407313285332,0.9905407313285332,95,0.9895833333333334,20121008,20211006,0,0.0,1,86401
RelativeSpdRearAxle2LftWheel,20501,0.9647983434514564,0.9647983434514564,95,0.9895833333333334,20121008,20211006,0,0.0,1,86401
RelativeSpdRearAxle2RghtWheel,20501,0.9647983434514564,0.9647983434514564,95,0.9895833333333334,20121008,20211006,0,0.0,1,86401
ReqEngZoneHeating,20687,0.973551696550426,0.973551696550426,96,1.0,20121008,20211006,0,0.0,1,86401
ReqPctFanSpdEng,21234,0.9992940844275024,0.9992940844275024,96,1.0,20121008,20211006,0,0.0,1,86401
RetEnableBrkAsstSwtchRetExhaust,21235,0.999341145465669,0.999341145465669,96,1.0,20121008,20211006,0,0.0,1,86401
RetEnableShftAsstSwtchRetExhaust,21235,0.999341145465669,0.999341145465669,96,1.0,20121008,20211006,0,0.0,1,86401
RoadSpeedLimStat_1587,21222,0.9987293519695044,0.9987293519695044,96,1.0,20121008,20211006,0,0.0,1,86401
RtdEngPwr_1587,18473,0.8693585580497906,0.8693585580497906,95,0.9895833333333334,20121008,20211006,0,0.0,1,75
RtdEngSpeed_1587,18423,0.8670055061414654,0.8670055061414654,95,0.9895833333333334,20121008,20211006,0,0.0,1,75
SeatBeltSwtch,20687,0.973551696550426,0.973551696550426,96,1.0,20121008,20211006,0,0.0,1,86401
SelMaxVehSpdLim,19562,0.9206080286131112,0.9206080286131112,96,1.0,20121008,20211006,0,0.0,1,31
TotEngHrs,18514,0.8712880606146172,0.8712880606146172,96,1.0,20121008,20211006,0,0.0,1,75
TotEngHrs_1587,17992,0.8467221986917032,0.8467221986917032,95,0.9895833333333334,20121008,20211006,0,0.0,1,31
TotEngRevs,18514,0.8712880606146172,0.8712880606146172,96,1.0,20121008,20211006,0,0.0,1,75
TotEngRevs_1587,17839,0.8395218598522284,0.8395218598522284,95,0.9895833333333334,20121008,20211006,0,0.0,1,31
TotIdlHours_1587,18441,0.8678526048284625,0.8678526048284625,95,0.9895833333333334,20121008,20211006,0,0.0,1,75
TotPTOHrs,18519,0.8715233658054496,0.8715233658054496,96,1.0,20121008,20211006,0,0.0,1,75
TotPTOHrs_1587,18371,0.8645583321568073,0.8645583321568073,95,0.9895833333333334,20121008,20211006,0,0.0,1,75
TotVehDist,20107,0.9462562944138548,0.9462562944138548,96,1.0,20121008,20211006,0,0.0,1,75
TotVehDist2,19807,0.9321379829639042,0.9321379829639042,96,1.0,20121008,20211006,0,0.0,1,31
TotVehHrs_1587,16013,0.7535884041601958,0.7535884041601958,95,0.9895833333333334,20130504,20211006,0,0.0,1,31
TotalFuelUsed,18514,0.8712880606146172,0.8712880606146172,96,1.0,20121008,20211006,0,0.0,1,75
TotalFuelUsed_1587,18094,0.8515224245846863,0.8515224245846863,95,0.9895833333333334,20121008,20211006,0,0.0,1,31
TotalIdleFuelUsed_1587,18398,0.8658289801873029,0.8658289801873029,95,0.9895833333333334,20121008,20211006,0,0.0,1,75
TrOutShaftSp,21206,0.9979763753588404,0.9979763753588404,96,1.0,20121008,20211006,0,0.0,1,86401
TrRgAttai,20658,0.9721869264435974,0.9721869264435974,96,1.0,20121008,20211006,0,0.0,1,86401
TrRgAttai_1587,21007,0.9886112287637066,0.9886112287637066,93,0.96875,20121008,20211006,0,0.0,1,86401
TrRgSelec,20658,0.9721869264435974,0.9721869264435974,96,1.0,20121008,20211006,0,0.0,1,86401
TrRgSelec_1587,21007,0.9886112287637066,0.9886112287637066,93,0.96875,20121008,20211006,0,0.0,1,86401
TrSelGr,21205,0.997929314320674,0.997929314320674,96,1.0,20121008,20211006,0,0.0,1,86401
TrShInProg,21206,0.9979763753588404,0.9979763753588404,96,1.0,20121008,20211006,0,0.0,1,86401
TractionCtrlOverrideSwtch_Tires,19012,0.8947244576215352,0.8947244576215352,90,0.9375,20121008,20211006,0,0.0,1,86401
TranActGearRato,20658,0.9721869264435974,0.9721869264435974,96,1.0,20121008,20211006,0,0.0,1,86401
TransCurGear,20658,0.9721869264435974,0.9721869264435974,96,1.0,20121008,20211006,0,0.0,1,86401
TransDrivEng,21206,0.9979763753588404,0.9979763753588404,96,1.0,20121008,20211006,0,0.0,1,86401
TransOilTemp,21205,0.997929314320674,0.997929314320674,96,1.0,20121008,20211006,0,0.0,1,86401
TransOilTemp_1587,20762,0.9770812744129136,0.9770812744129136,93,0.96875,20121008,20211006,0,0.0,1,86401
TransOptShaftSpeedTrans_1587,20766,0.9772695185655796,0.9772695185655796,93,0.96875,20121008,20211006,0,0.0,1,86401
TransTorqConvLockupEngaged,21206,0.9979763753588404,0.9979763753588404,96,1.0,20121008,20211006,0,0.0,1,86401
TripFuel,17970,0.8456868558520401,0.8456868558520401,96,1.0,20121008,20211006,0,0.0,1,31
UTC_1Hz,21249,1.0,1.0,96,1.0,20121008,20211006,0,0.0,1,86401
UTC_Startup,20117,0.9467269047955198,0.9467269047955198,96,1.0,20121008,20211006,0,0.0,1,75
VDCBrkCtl_1587,21041,0.9902113040613676,0.9902113040613676,95,0.9895833333333334,20121008,20211006,0,0.0,1,86401
VDCEngCtrl_1587,21041,0.9902113040613676,0.9902113040613676,95,0.9895833333333334,20121008,20211006,0,0.0,1,86401
VehLimSpdGovDecSwtch,20687,0.973551696550426,0.973551696550426,96,1.0,20121008,20211006,0,0.0,1,86401
VehLimSpdGovEnabSwtch,20687,0.973551696550426,0.973551696550426,96,1.0,20121008,20211006,0,0.0,1,86401
VehLimSpdGovIncSwtch,20687,0.973551696550426,0.973551696550426,96,1.0,20121008,20211006,0,0.0,1,86401
VehSpeedBrakes_1587,16734,0.7875194126782437,0.7875194126782437,95,0.9895833333333334,20121008,20211006,0,0.0,1,86401
VehSpeedEng,21235,0.999341145465669,0.999341145465669,96,1.0,20121008,20211006,0,0.0,1,86401
VehSpeedEng_1587,20988,0.987717069038543,0.987717069038543,96,1.0,20121008,20211006,0,0.0,1,86401
